zip,totkbtu,avgkbtu,Total annual customers-Elec,Avg annual customers-Elec,Total annual customers-GAS,Avg annual customers- Gas,Actual Minm Customer Count
92304,0,0,,0,0,0,0
92365,0,0,,0,0,0,0
93101,0,0,0,0,,0,0
93105,0,0,0,0,,0,0
93110,0,0,0,0,,0,0
93111,0,0,0,0,,0,0
93117,0,0,0,0,,0,0
93201,8290658.436,27108.41995,3670,305.8333333,,0,305.8333333
93203,115420313.7,24417.67474,56723,4726.916667,0,0,4726.916667
93204,126678074.1,54815.26357,27732,2311,27069,2255.75,2311
93206,16695410.74,32085.99117,6244,520.3333333,,0,520.3333333
93210,110883650.3,25772.91011,51628,4302.333333,0,0,4302.333333
93212,112429719.6,26228.79263,51438,4286.5,,0,4286.5
93219,3817161.352,29997.33872,1527,127.25,,0,127.25
93224,5711425.276,27015.01904,2537,211.4166667,0,0,211.4166667
93230,36215684.52,40213.58511,10807,900.5833333,,0,900.5833333
93234,76977443.32,51697.40989,17868,1489,16851,1404.25,1489
93239,19666438.72,52374.00459,4506,375.5,3911,325.9166667,375.5
93240,0,0,0,0,,0,0
93241,81321314.57,23853.72219,40910,3409.166667,,0,3409.166667
93242,31295805.71,32447.69903,11574,964.5,,0,964.5
93243,10207465.44,23451.95966,5223,435.25,,0,435.25
93245,300076402.6,28834.09268,124884,10407,,0,10407
93249,12969319.08,21889.14613,7110,592.5,,0,592.5
93250,60033556.55,24464.38274,29447,2453.916667,,0,2453.916667
93251,0,0,0,0,,0,0
93252,26427197.62,49197.38929,6446,537.1666667,4555,379.5833333,537.1666667
93254,7559245.056,25239.54944,3594,299.5,,0,299.5
93256,0,0,0,0,,0,0
93263,146371715.6,25660.49067,68450,5704.166667,0,0,5704.166667
93266,10798386.31,29053.9542,4460,371.6666667,,0,371.6666667
93268,303545746,56144.59373,64878,5406.5,56547,4712.25,5406.5
93274,0,0,0,0,,0,0
93276,0,0,0,0,,0,0
93277,0,0,0,0,,0,0
93280,147716453,24535.91855,72245,6020.416667,,0,6020.416667
93286,12093666.81,35096.49377,4135,344.5833333,,0,344.5833333
93287,0,0,0,0,,0,0
93291,0,0,0,0,,0,0
93292,5526085.436,33040.86957,2007,167.25,,0,167.25
93301,309495240.2,54311.70311,68382,5698.5,59492,4957.666667,5698.5
93304,970869293.4,63202.83572,184334,15361.16667,177812,14817.66667,15361.16667
93305,647707562.3,60772.43635,127895,10657.91667,126172,10514.33333,10657.91667
93306,1360236441,62336.35652,261851,21820.91667,246178,20514.83333,21820.91667
93307,1259212267,57603.4889,262320,21860,238568,19880.66667,21860
93308,735921654.9,38472.18772,229544,19128.66667,70387,5865.583333,19128.66667
93309,1010002457,44972.11322,269501,22458.41667,146607,12217.25,22458.41667
93311,789152556.9,50872.04235,186150,15512.5,108202,9016.833333,15512.5
93312,571639174.9,29488.1036,232625,19385.41667,0,0,19385.41667
93313,922023381.5,62149.10339,178028,14835.66667,170878,14239.83333,14835.66667
93314,325708409,36257.63843,107798,8983.166667,14360,1196.666667,8983.166667
93401,182483313.6,15371.11485,142462,11871.83333,,0,11871.83333
93402,86607318.04,14697.47449,70712,5892.666667,,0,5892.666667
93405,118192498.9,15016.67552,94449,7870.75,,0,7870.75
93420,210603741.5,18556.75819,136190,11349.16667,,0,11349.16667
93422,267733576.9,21607.24538,148691,12390.91667,,0,12390.91667
93424,12635393.46,18235.08377,8315,692.9166667,,0,692.9166667
93426,19729026.76,20599.34927,11493,957.75,,0,957.75
93427,39908454.59,22639.88347,21153,1762.75,,0,1762.75
93428,54597343.19,14300.29725,45815,3817.916667,,0,3817.916667
93429,0,0,0,0,,0,0
93430,29857668.18,13921.28135,25737,2144.75,,0,2144.75
93432,18110107.83,26936.20401,8068,672.3333333,,0,672.3333333
93433,73933819.36,13702.23219,64749,5395.75,,0,5395.75
93434,23773007.64,12944.14863,22039,1836.583333,,0,1836.583333
93435,0,0,0,0,,0,0
93436,80842399.42,18004.32042,53882,4490.166667,,0,4490.166667
93437,0,0,0,0,,0,0
93440,13295577.93,21484.90913,7426,618.8333333,,0,618.8333333
93441,14080006.97,30117.66196,5610,467.5,,0,467.5
93442,78441610.45,13776.79218,68325,5693.75,,0,5693.75
93444,121219993.8,16255.50282,89486,7457.166667,,0,7457.166667
93445,36063580.97,14606.06067,29629,2469.083333,,0,2469.083333
93446,394984052,22100.51302,214466,17872.16667,0,0,17872.16667
93449,74829326.05,16091.17469,55804,4650.333333,,0,4650.333333
93450,8907666.22,44668.61456,2393,199.4166667,1488,124,199.4166667
93451,37901523.01,26008.9367,17487,1457.25,0,0,1457.25
93452,2841725.144,12705.17948,2684,223.6666667,,0,223.6666667
93453,29113033.3,24968.29614,13992,1166,,0,1166
93454,173614341.6,15746.85648,132304,11025.33333,,0,11025.33333
93455,248525453.3,16948.96191,175958,14663.16667,0,0,14663.16667
93458,172210293.4,14412.71234,143382,11948.5,,0,11948.5
93460,69025889.37,33911.02401,24426,2035.5,,0,2035.5
93461,25474912.05,55250.12553,5533,461.0833333,3830,319.1666667,461.0833333
93463,74160355.68,23438.18031,37969,3164.083333,,0,3164.083333
93465,87665355.35,24828.51697,42370,3530.833333,0,0,3530.833333
93516,34411339.3,47355.05408,,0,8720,726.6666667,726.6666667
93523,15362612.09,39696.67206,,0,4644,387,387
93526,0,0,,0,0,0,0
93555,435412276,35731.02176,,0,146230,12185.83333,12185.83333
93561,79833535.35,57544.5954,0,0,16648,1387.333333,1387.333333
93562,21317682.53,31098.00515,,0,8226,685.5,685.5
93601,24595910.39,27941.96011,10563,880.25,,0,880.25
93602,45231276.95,25908.12999,20950,1745.833333,,0,1745.833333
93603,3711860.208,17917.26569,2486,207.1666667,,0,207.1666667
93604,21151523.68,20210.0712,12559,1046.583333,,0,1046.583333
93606,16886492.53,57863.48098,3502,291.8333333,3338,278.1666667,291.8333333
93608,7674734.432,26111.94023,3527,293.9166667,0,0,293.9166667
93609,49263936.81,34656.30447,17058,1421.5,,0,1421.5
93610,317600853.2,57558.10978,66215,5517.916667,49667,4138.916667,5517.916667
93611,1110281598,68167.36254,195451,16287.58333,188387,15698.91667,16287.58333
93612,798999189.4,55110.99389,173976,14498,161491,13457.58333,14498
93614,149038159.4,31182.79306,57354,4779.5,,0,4779.5
93615,33301447.55,24541.99906,16283,1356.916667,,0,1356.916667
93616,18672292.83,29536.97785,7586,632.1666667,0,0,632.1666667
93618,217332290.8,26936.17593,96821,8068.416667,,0,8068.416667
93619,740199323,59036.86734,150455,12537.91667,104424,8702,12537.91667
93620,159541207.6,53028.68157,36103,3008.583333,25616,2134.666667,3008.583333
93621,6599043.428,25785.90724,3071,255.9166667,,0,255.9166667
93622,130693385.5,53100.41058,29535,2461.25,24685,2057.083333,2461.25
93623,2590056.024,12917.98516,2406,200.5,,0,200.5
93624,6426150.564,31552.29409,2444,203.6666667,,0,203.6666667
93625,135208564.7,56907.9575,28511,2375.916667,20870,1739.166667,2375.916667
93626,24104500.5,32214.50117,8979,748.25,,0,748.25
93627,0,0,0,0,0,0,0
93628,1894253.688,7452.801395,3050,254.1666667,,0,254.1666667
93630,293325194.3,52482.58978,67068,5589,51298,4274.833333,5589
93631,166143146.7,29757.42563,66999,5583.25,,0,5583.25
93633,1277718.936,6043.605531,2537,211.4166667,,0,211.4166667
93635,769592948.9,60313.71482,153118,12759.83333,136329,11360.75,12759.83333
93636,139755864.6,37368.71087,44879,3739.916667,0,0,3739.916667
93637,690313936.6,58850.29298,140760,11730,121820,10151.66667,11730
93638,587392346.3,46751.3972,150770,12564.16667,96903,8075.25,12564.16667
93640,150808660.6,56336.70351,32123,2676.916667,29221,2435.083333,2676.916667
93641,5555292.156,18284.01148,3646,303.8333333,,0,303.8333333
93643,41504093.45,25386.06052,19619,1634.916667,,0,1634.916667
93644,112722049.5,27841.77083,48584,4048.666667,,0,4048.666667
93645,5520029.136,30441.33715,2176,181.3333333,,0,181.3333333
93646,57913906.14,23886.1273,29095,2424.583333,,0,2424.583333
93647,69573529.02,25562.83981,32660,2721.666667,,0,2721.666667
93648,90458319.6,25072.75454,43294,3607.833333,,0,3607.833333
93650,72525111.7,66730.66557,13042,1086.833333,12741,1061.75,1086.833333
93651,20465128.23,33859.30495,7253,604.4166667,,0,604.4166667
93652,3955763.616,30744.27681,1544,128.6666667,,0,128.6666667
93653,13355393.7,29245.38767,5480,456.6666667,,0,456.6666667
93654,240250022.6,27464.99259,104970,8747.5,,0,8747.5
93656,52052752.07,32433.3052,19259,1604.916667,,0,1604.916667
93657,587398062.7,52991.54809,133017,11084.75,88566,7380.5,11084.75
93660,54122194.09,53086.99763,12234,1019.5,11487,957.25,1019.5
93662,448236537.7,51556.50349,104329,8694.083333,70867,5905.583333,8694.083333
93664,5986313.056,18485.78401,3886,323.8333333,,0,323.8333333
93665,11409683.32,55185.8927,2481,206.75,2181,181.75,206.75
93666,4244220.92,25288.30737,2014,167.8333333,,0,167.8333333
93667,26226000.21,27986.83882,11245,937.0833333,0,0,937.0833333
93668,16621899.07,50805.60083,3926,327.1666667,2370,197.5,327.1666667
93669,3553174.912,17780.6918,2398,199.8333333,,0,199.8333333
93673,4311454.38,25637.98442,2018,168.1666667,,0,168.1666667
93675,45042003.07,28829.95716,18748,1562.333333,,0,1562.333333
93701,179272013.3,51257.1875,41970,3497.5,40555,3379.583333,3497.5
93702,682146843,58761.85979,139304,11608.66667,137006,11417.16667,11608.66667
93703,602385226.5,59709.10194,121064,10088.66667,114838,9569.833333,10088.66667
93704,750070460.4,65525.50541,137364,11447,134760,11230,11447
93705,762681072.3,62116.00969,147340,12278.33333,142034,11836.16667,12278.33333
93706,584110258.6,56230.2301,124654,10387.83333,97932,8161,10387.83333
93710,656584347.6,58719.28344,134181,11181.75,129025,10752.08333,11181.75
